ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_B_1,EXPLAIN_B_1
1655.0,Included,included,Mapping CMMI level 2 to scrum practices: An experience report,"CMMI has been adopted advantageously in large companies for improvements in software quality, budget fulfilling, and customer satisfaction. However SPI strategies based on CMMI-DEV require heavy software development processes and large investments in terms of cost and time that medium/small companies do not deal with. The so-called light software development processes, such as Agile Software Development (ASD), deal with these challenges. ASD welcomes changing requirements and stresses the importance of adaptive planning, simplicity and continuous delivery of valuable software by short time-framed iterations. ASD is becoming convenient in a more and more global, and changing software market. It would be greatly useful to be able to introduce agile methods such as Scrum in compliance with CMMI process model. This paper intends to increase the understanding of the relationship between ASD and CMMI-DEV reporting empirical results that confirm theoretical comparisons between ASD practices and CMMI level2. Â© 2009 Springer Berlin Heidelberg.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry (as an experience report) (IC2), and is a primary study (IC4). It does not violate any exclusion criteria (EC1-EC9)."
2721.0,Excluded,ec7,Using Collective Intelligence to Detect Pragmatic Ambiguities, ,INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry or academia (IC2), and appears to be a primary study (IC4). It does not violate any exclusion criteria (EC1-EC9)."
1880.0,Excluded,ec4,"Proceedings - AGILE Conference, 2006",The proceedings contain 50 papers. The topics discussed include: earned value and agile reporting; an empirical study of using planning poker for user story estimation; on agile performance requirements specification and testing; refactoring with contracts; a case study on the impact of customer communication on defects in agile software development; critical personality traits in successful pair programming; reflections on reflections in agile software development; the deployment production line; the cost of code quality; the agile marathon; a tale of two projects; the pairing sessions as the atomic unit of work; multiple simultaneous projects with one eXtreme programming team; value based extreme programming; something to believe in; introducing lean principles with agile practices at a fortune 500 company; optimizing major release frequency using agile practices; and examining the compatibility of student pair programmers.,EXCLUDED,"The article is a conference proceedings, which is a tertiary study (IC5). Therefore, it does not meet the inclusion criteria."
1207.0,Excluded,ec3,Experiences with Extreme Programming in telehealth: Developing and implementing a biosecurity health care application,"There has been limited research on how non-conventional system development methodologies such as, Agile modeling methods could improve the successful development and implementation of telehealth services. The goal of this research was to increase the understanding of the impact of using the Extreme Programming process, an Agile modeling approach, to the development effort of a biosecurity telehealth project. Overall, the research indicates that Extreme Programming is an effective methodology to develop health care applications. The rapid prototyping enabled IT developers and health care users to clarify system requirements, communicate openly, and quickly build rapport. Further, the research found that that where the technology was new or foreign, the Extreme Programming process was flexible enough to support several iterations of technology and produce prototypes in a timely manner.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry or academia (IC2), and is a quantitative research (IC3) due to the research findings. It does not violate any exclusion criteria."
1700.0,Excluded,ec7,"Model driven architecture: how far have we come, how far can we go?","Model Driven Architecture (MDA) is a technology that has been in the process of evolution for many years. Today, many vendors are now producing products that support MDA. We are hearing more and more success stories that indicate that this technology ...",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1) and is a study (abstract suggests a research-oriented article - IC2 & IC4). It's a primary study and doesn't violate any exclusion criteria (EC1, EC3, EC4, EC5, EC6, EC7, EC9)."
328.0,Included,included,Adapting XP to complex application domains,"Extreme programming (XP) works well for small software projects in not-too-complex application domains. In many of these projects the rather simple requirements engineering of XP (customers write story cards) has proved suitable. But today we are more often faced with complex application domains in which the classical XP techniques will not suffice. The tutorial shows how to adapt extreme programming to complex application domains and to demanding development tasks. We focus mainly on the requirements engineering part and show how to enhance XP with interviews, scenarios and system visions. We also integrate the management perspective into the ""planning game"" reconciling this perspective to users' needs. We propose a set of best-practice methods we have used in a number of industrial high-risk projects for different complex application domains.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1) and is a study from industry (implied by 'industrial high-risk projects' - IC2). It is a primary study (IC4) and appears to be a qualitative/quantitative research (based on the use of interviews, scenarios, and system visions). It does not violate any exclusion criteria."
2043.0,Excluded,ec4,Report on the first SEMAT workshop on general theory of software engineering (GTSE 2012),"Many academic disciplines have general theories, which apply across the discipline and underlie much of its research. Examples include the Big Bang theory (cosmology), Maxwell's equations (electrodynamics), the theories of the cell and evolution (biology), ...",EXCLUDED,"The article discusses general theories across disciplines and doesn't focus on software requirements, agile methodologies, or address any specific research question related to software development. It's a broad discussion of theory, not a study of software practices."
2583.0,Included,included,Tool-supported process analysis and design for the development of multi-agent systems,"This paper introduces a methodology for the development of multi-agent systems, in particular multi-agent systems that optimize the collaboration of distributed work groups like clinical departments. A major difficulty with such systems is requirements elicitation, because intimate knowledge of the work processes is needed to identify the potential agent application scenarios. In the face of uncertain requirements, our methodology exploits some ideas from agile software development approaches such as Extreme Programming, namely the values of collaboration with domain experts and of human creativity driven by rapid feedback. We support collaboration by means of a tool-supported modeling approach that allows one to capture existing and agentified processes in a format that is sufficiently simple to be understood and maintained by domain experts. These process models can be automatically synchronized with executable agent source code, so that rapid feedback is ensured. We support creativity by means of a searchable repository of reusable agent design patterns and other types of process modeling knowledge. Â© Springer-Verlag Berlin Heidelberg 2003.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from academia (IC2), and presents qualitative research (although it doesn't explicitly state it, the description of a methodology and modeling approach suggests a qualitative approach - IC3). It does not violate any exclusion criteria (EC1-EC9)."
135.0,Included,included,A Hybrid Software Architecture Evaluation Method for FDD - An Agile Process Model,"The software development industry suffers from the delay in project completion time due to heavy documentation requirements of traditional process models. To overcome these delays, agile process models are getting a wide acceptance and popularity in the industry. The beauty of these models is light weight documentation and heavy intercommunications. Due to an emphasis of these models on rapid development, there is an ever increasing need of architecture evaluation. A single software architecture evaluation method (SAEM) capable of preserving the agility does not exist at the moment. In this paper, we have proposed a hybrid SAEM for feature driven development (FDD) agile process model. The proposed SAEM is hybrid of quality attribute workshop (QAW), architecture tradeoff analysis method (ATAM) and active review for intermediate designs (ARID).",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry or academia (IC2), and is a primary study (IC4). It does not violate any exclusion criteria (EC1-EC9)."
391.0,Included,included,Agile management of uncertain requirements via generalizations: a case study,"A major justification for the agile class of software processes is that customer requirements often change substantially during development, with the result that developers must work with a ever-changing specification. The best way of dealing with this, it is claimed, is a process including adaptive and iterative steps allowing the code under development to change to meet an evolving requirement. In this paper, we use quantitative process data to argue that the deliberate development of an evolvable design, based upon extensions and variations to the requirements, and the generality derivable from the implemented system, may provide agility within a more traditional development, showing that the two concepts are interchangeable, to some extent. In doing so, the paper draws upon our joint work on evolvable systems, and upon a concept developed by one of us in the 1980's, ""The Contraction of Generality"", to illustrate the alternatives.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1). It's a study from industry or academia (IC2), and it's a primary study (IC4). It is a qualitative or quantitative research (the abstract mentions 'quantitative process data'), and it does not violate any exclusion criteria (EC1-EC9)."
595.0,Included,included,Architecture in an agile world,"The world is moving faster than ever, and our software development techniques are struggling to keep up. On one hand, we are under pressure to deliver more features in our software products, so we need to have an agile feature set. On the other hand, we know that we need to have a well-defined and understandable architecture to prevent our project from being in chaos. How do we manage the balance between architecture and agility?",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), and it is a study from industry or academia (IC2). Although it is not a primary or secondary study, it does address the balance between architecture and agility, which falls under the scope of software requirements in an agile context (IC3)."
537.0,Included,included,An integrated approach for requirement selection and scheduling in software release planning,"It is essential for product software companies to decide which requirements should be included in the next release and to make an appropriate time plan of the development project. Compared to the extensive research done on requirement selection, very little research has been performed on time scheduling. In this paper, we introduce two integer linear programming models that integrate time scheduling into software release planning. Given the resource and precedence constraints, our first model provides a schedule for developing the requirements such that the project duration is minimized. Our second model combines requirement selection and scheduling, so that it not only maximizes revenues but also simultaneously calculates an on-time-delivery project schedule. Since requirement dependencies are essential for scheduling the development process, we present a more detailed analysis of these dependencies. Furthermore, we present two mechanisms that facilitate dynamic adaptation for over-estimation or under-estimation of revenues or processing time, one of which includes the Scrum methodology. Finally, several simulations based on real-life data are performed. The results of these simulations indicate that requirement dependency can significantly influence the requirement selection and the corresponding project plan. Moreover, the model for combined requirement selection and scheduling outperforms the sequential selection and scheduling approach in terms of efficiency and on-time delivery.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry or academia (IC2), and employs quantitative research through simulations (IC3) and a primary study (IC4). It does not violate any exclusion criteria."
1112.0,Included,included,Embedding requirements within Model-Driven Architecture,"So far, the importance of including the Requirements Engineering paradigm within MDA has been established. ...",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry or academia (IC2), and is likely to be a quantitative or qualitative research (IC3) based on the abstract. It does not violate any exclusion criteria."
1462.0,Excluded,ec4,Index,abstract is not available,EXCLUDED,"The abstract is not available, making it impossible to determine whether the article addresses requirements in software projects using agile methodologies or meets the criteria for a study from industry or academia."
1641.0,Included,included,Managing agile project requirements with storytest-driven development,"Agile project teams aim to include both business and development personnel, emphasizing direct communication over written requirements documents. Rather than trying to understand all of a system's detailed requirements before development, they carry out high-level release planning and then drive small development increments in cycles of one or two weeks. Doing so avoids many of the potential problems in traditional, phased software development approaches and accepts that changes are inevitable. Storytest-driven development brings requirements and automated testing ideas and practices together to support this agile process. The author describes this development approach and how its concrete examples can clarify and communicate business rules, aid agile team discussions, and facilitate team members' understanding of the concepts at the heart of the business needs. Such examples are executable, serving a secondary role as automated tests. Â© 2008 IEEE.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry (as described by the author, IEEE), and is a primary study (IC2, IC3, IC4). It does not violate any exclusion criteria (EC1-EC9)."
1833.0,Included,included,Perceived productivity threats in large agile development projects,"Applying agile methodology in large software development projects introduces many challenges. For example, one may expect that the combination of autonomous teams and the necessity for an overall organizational control structure may lead to conflicts, and one may expect that Agile's informal means of knowledge sharing breaks down as the number of project participants increases. Such issues may in turn compromise the project's productivity. In order to better understand potential threats to productivity in large agile development projects, we conducted repertory grid interviews with 13 project members on their perceptions of threats to productivity. The project was a large software development project consisting of 11 Scrum teams from three different subcontractors. The repertory grid sessions produced 100 issues, which were content analyzed into 10 main problem areas: (1) Restraints on collaboration due to contracts, ownership, and culture, (2) Architectural and technical qualities are given low priority, (3) Conflicts between organizational control and flexibility, (4) Volatile and late requirements from external parties, (5) Lack of a shared vision for the end product, (6) Limited dissemination of functional knowledge, (7) Excessive dependencies within the system, (8) Overloading of key personnel, (9) Difficulties in maintaining well-functioning technical environments, (10) Difficulties in coordinating test and deployment with external parties. Using critical-case reasoning, we claim that projects deploying agile practices in projects with less favorable conditions than those enjoyed in the current project, and that are larger and more complex, are likely to face similar challenges.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry or academia (IC2), and uses qualitative research methods (IC3) by utilizing repertory grid interviews. It is a primary study (IC4) and does not violate any exclusion criteria (EC1-EC9)."
1488.0,Excluded,ec3,Information Needs in Collocated Software Development Teams,"Previous research has documented the fragmented nature of software development work. To explain this in more detail, we analyzed software developers' day-to-day information needs. We observed seventeen developers at a large software company and transcribed ...",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry (IC2), and is a qualitative study (IC3). It does not violate any exclusion criteria."
2755.0,Excluded,ec7,Using Task-oriented Requirements Engineering in Different Domains – Experiences with Application in Research and Industry, ,INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry and academia (IC2), and appears to be a primary study based on the abstract (IC4). It does not violate any exclusion criteria."
