matricula,verba,consignatario,valor_da_parcela,prazo_total,prazo_restante,natureza,margem_inicial,margem_atual,margem_disponivel,qtde_renegociados,percentual_renegociacao
106778,424,banco bradesco,1019.98,84,52,novo contrato,1282.12,262.14,20.45,0,0.0
109361,424,banco bradesco,1375.48,44,10,novo contrato,,,,0,0.0
11211,427,caixa econômica federal,333.99,144,131,novo contrato,919.19,85.2,9.27,0,0.0
11211,427,caixa econômica federal,500.0,144,112,novo contrato,919.19,85.2,9.27,0,0.0
11221,424,banco bradesco,353.84,120,108,renegociação,901.81,-69.24,0.0,12,2.3333333333333335
11221,427,caixa econômica federal,73.0,144,140,novo contrato,901.81,-69.24,0.0,12,2.3333333333333335
11221,427,caixa econômica federal,194.29,144,110,novo contrato,901.81,-69.24,0.0,12,2.3333333333333335
11221,427,caixa econômica federal,349.92,144,110,novo contrato,901.81,-69.24,0.0,12,2.3333333333333335
11241,424,banco bradesco,880.09,120,104,renegociação,905.29,25.2,2.78,2,1.5
11413,424,banco bradesco,1000.8,72,63,renegociação,1083.61,82.81,7.64,1,1.0
117112,424,banco bradesco,384.18,43,21,novo contrato,,,,0,0.0
11791,424,banco bradesco,596.68,24,24,novo contrato,2030.84,1434.16,70.62,0,0.0
11801,424,banco bradesco,303.14,120,120,renegociação,2067.34,4.98,0.24,16,1.25
11801,424,banco bradesco,1759.22,120,119,renegociação,2067.34,4.98,0.24,16,1.25
11811,424,banco bradesco,668.26,120,117,renegociação,2067.34,152.66,7.38,16,1.375
11811,424,banco bradesco,1246.42,120,108,renegociação,2067.34,152.66,7.38,16,1.375
11821,404,banco do brasil,116.46,72,72,novo contrato,2085.59,1.0,0.05,4,2.0
11821,404,banco do brasil,269.0,72,71,novo contrato,2085.59,1.0,0.05,4,2.0
11821,424,banco bradesco,181.4,96,59,novo contrato,2085.59,1.0,0.05,4,2.0
11821,424,banco bradesco,1517.73,120,86,renegociação,2085.59,1.0,0.05,4,2.0
11831,424,banco bradesco,1630.35,120,93,renegociação,1896.8,266.45,14.05,1,2.0
11851,424,banco bradesco,476.01,60,58,renegociação,1564.08,174.14,11.13,2,3.0
11851,424,banco bradesco,913.93,96,31,novo contrato,1564.08,174.14,11.13,2,3.0
12732,424,banco bradesco,305.25,44,25,novo contrato,,,,0,0.0
139514,424,banco bradesco,45.0,60,44,novo contrato,571.05,56.34,9.87,0,0.0
139514,424,banco bradesco,469.71,96,71,novo contrato,571.05,56.34,9.87,0,0.0
14853,424,banco bradesco,38.09,120,108,novo contrato,1244.61,40.97,3.29,3,1.0
14853,424,banco bradesco,51.37,120,112,novo contrato,1244.61,40.97,3.29,3,1.0
14853,424,banco bradesco,1114.18,120,102,renegociação,1244.61,40.97,3.29,3,1.0
15151,424,banco bradesco,364.34,120,115,renegociação,0.0,-364.34,0.0,1,2.0
1541,424,banco bradesco,32.97,120,109,novo contrato,2730.32,248.26,9.09,4,1.5
1541,424,banco bradesco,2449.09,120,110,renegociação,2730.32,248.26,9.09,4,1.5
155551,424,banco bradesco,143.0,35,19,novo contrato,,,,0,0.0
1561,404,banco do brasil,1080.24,60,22,novo contrato,,,,0,0.0
1581,427,caixa econômica federal,758.03,77,56,novo contrato,,,,3,2.3333333333333335
158571,424,banco bradesco,51.48,43,25,novo contrato,,,,0,0.0
158571,424,banco bradesco,304.63,45,25,novo contrato,,,,0,0.0
16052,424,banco bradesco,289.67,66,49,novo contrato,,,,0,0.0
1641,424,banco bradesco,1017.03,36,7,renegociação,2494.82,1477.79,59.23,1,2.0
167802,424,banco bradesco,369.59,48,39,novo contrato,,,,0,0.0
1701,404,banco do brasil,134.65,72,47,novo contrato,,,,0,0.0
1701,404,banco do brasil,405.49,60,19,novo contrato,,,,0,0.0
17664,424,banco bradesco,150.0,44,23,novo contrato,,,,0,0.0
17664,424,banco bradesco,206.11,40,24,novo contrato,,,,0,0.0
1771,404,banco do brasil,214.06,72,71,novo contrato,555.97,0.35,0.06,0,0.0
1771,404,banco do brasil,341.56,72,18,novo contrato,555.97,0.35,0.06,0,0.0
177441,424,banco bradesco,998.65,120,115,renegociação,1068.49,69.84,6.54,2,1.5
177521,424,banco bradesco,70.04,120,119,novo contrato,,,,0,0.0
177521,424,banco bradesco,294.47,120,118,novo contrato,,,,0,0.0
177521,424,banco bradesco,559.86,96,81,novo contrato,,,,0,0.0
177601,424,banco bradesco,195.0,120,120,novo contrato,,,,0,0.0
177601,424,banco bradesco,309.81,120,118,novo contrato,,,,0,0.0
177601,424,banco bradesco,356.42,120,112,novo contrato,,,,0,0.0
178171,424,banco bradesco,1069.13,48,31,novo contrato,1304.7,235.57,18.06,0,0.0
178411,424,banco bradesco,568.06,60,59,novo contrato,1295.24,513.52,39.65,0,0.0
178411,427,caixa econômica federal,213.66,24,16,novo contrato,1295.24,513.52,39.65,0,0.0
180741,424,banco bradesco,636.3,12,8,novo contrato,1282.12,645.82,50.37,0,0.0
181121,424,banco bradesco,394.27,120,101,novo contrato,,,,0,0.0
181201,424,banco bradesco,785.15,120,111,renegociação,782.0,-3.15,0.0,2,1.0
181391,424,banco bradesco,130.5,120,112,novo contrato,895.12,-446.37,0.0,15,3.3333333333333335
181391,424,banco bradesco,323.21,120,115,novo contrato,895.12,-446.37,0.0,15,3.3333333333333335
181391,424,banco bradesco,502.64,118,109,renegociação,895.12,-446.37,0.0,15,3.3333333333333335
181391,427,caixa econômica federal,98.89,144,110,novo contrato,895.12,-446.37,0.0,15,3.3333333333333335
