ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A,EXPLAIN_A,RESULT_B,EXPLAIN_B
1770.0,Included,included,On agile performance requirements specification and testing,"Underspecified performance requirements can cause performance issues in a software system. However, a complete, upfront analysis of a software system is difficult, and usually not desirable. We propose an evolutionary model for performance requirements specifications and corresponding validation testing. The principles of the model can be integrated into agile development methods. Using this approach, the performance requirements and test cases can be specified incrementally, without big upfront analysis. We also provide a post hoc examination of a development effort at IBM that had a high focus on performance requirements. The examination indicates that our evolutionary model can be used to specify performance requirements such that the level of detail is commensurate with the nature of the project. Additionally, the IBM experience indicates that test driven development-type validation testing corresponding to the model can be used to determine if performance objectives have been met",INCLUDED,"The article addresses software requirements in the context of agile methodologies, specifically performance requirements specification and testing using an evolutionary model. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (through integration with agile development) (EC7), and answers at least one research question (on performance requirements and testing) (EC9). It meets all inclusion criteria: it addresses software project requirements using agile methods (IC1), is a primary study (IC2), uses a mixed-methods approach (qualitative and quantitative elements) (IC3), and is a primary study (IC4).",INCLUDED,"The article addresses performance requirements specification and testing in software projects using agile methodologies, which meets IC1. It is from IBM, a reputable industry, satisfying IC2. The article is qualitative in nature (as it examines a development effort), and it appears to be a primary study based on the IBM project examination, thus meeting IC3 and IC4. There is no indication of the article being written in a language other than English, being incomplete or just an abstract, being a tertiary or meta-analysis, dealing with teaching agile methods, failing to address agile methodologies, or failing to answer research questions. Therefore, it meets all the Inclusion Criteria without violating any Exclusion Criteria."
108.0,Included,included,A feasible user story tool for agile software development?,"User stories form the heart of the Extreme Programming methodology planning game. In its turn, Extreme Programming is one of the supporting pillars of the wider agile software development process. The user stories form a set of central work products that determine the software development processes. In the spirit of Extreme Programming the production of user stories is kept as simple as possible. Traditionally, user stories are hand written on index cards as they are easy to store, display, rearrange and distribute to the co-located development team. However, virtually all other work products of an application development team are in electronic format, and agile software development is increasingly being adopted by teams working from remote locations. In these circumstances distributed development teams look to software solutions for creating and using user stories. This paper surveys some of the tools that are being used and examines their suitability for the task using a set of requirements. As a result of this investigation the author has produced a prototype user story software tool for Agile Software Development called DotStories. The paper concludes by discussing the features of DotStories and its how closely it can approach the ideal user story software tool. Indeed, the proposition that software tools can ever improve on index cards is considered in the light of experience to date.",INCLUDED,"The article addresses software requirements in agile software development by evaluating user story tools and proposing a prototype tool (DotStories). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (Extreme Programming) (EC7), and answers at least one research question (suitability of tools for user stories) (EC9). It meets all inclusion criteria: it addresses requirements in software projects using agile methodologies (IC1), is from academia (IC2), is qualitative and quantitative in nature (IC3), and is a primary study (IC4).",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), it is a qualitative research (IC3), and it is a primary study (IC4). It does not violate any of the exclusion criteria (EC1-EC9)."
2274.0,Included,included,Sprint: Agile specifications in Shockwave and Flash,"Digital product development teams have trouble coordinating specification assets, both in the effort to represent a stable design in multiple specification forms, and particularly when a changing context causes requirement changes. The Agile process movement avoids cumbersome specifications by prescribing faster release cycles, more parallel development, and greater requirement flexibility.Sprint is both a method and a tool designed to allow an Agile approach to product development while supporting best practices for user-centered design. Unlike more comprehensive modeling and configuration management products, Sprint is for smaller teams to use for design and specification, and allows designers to stay synchronized with customers, analysts, and developers.Driven by Shockwave or Flash prototypes, Sprint links project assets, such as personas, scenarios, screen designs, storyboards, requirements, and use cases, to form interactive specifications. By eliminating asset redundancies and supporting multiple asset fidelities, Sprint reduced our administrative documentation tasks, accelerated client/user feedback, and improved team coordination.",INCLUDED,"The article addresses software requirements in the context of agile methodologies, specifically focusing on agile specifications in product development using Shockwave and Flash. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (agile specifications and iterative development), and answers relevant research questions regarding team coordination and requirement management (EC9). It meets inclusion criteria: it addresses software project requirements using agile methodologies (IC1), is from industry practice (IC2), and presents a qualitative case study (IC3 and IC4). Therefore, it is classified as INCLUDED.",INCLUDED,"The article does not violate any exclusion criteria: It is written in English (EC1). It addresses software requirements, specifically those related to agile methodologies (EC3). It is not described as incomplete, a draft, presentation slides, or just an abstract (EC4). It is not described as tertiary or a meta-analysis (EC5). It does not deal with teaching agile methods, but rather with the application of an agile methodology (EC6). It does not fail to address any agile methodologies; instead, it discuss"
2238.0,Included,included,Software product line scoping and requirements engineering in a small and medium-sized enterprise: An industrial case study,"Abstract Software product line (SPL) engineering has been applied in several domains, especially in large-scale software development. Given the benefits experienced and reported, \{SPL\} engineering has increasingly garnered interest from small to medium-sized companies. It is possible to find a wide range of studies reporting on the challenges of running a \{SPL\} project in large companies. However, very little reports exist that consider the situation for small to medium-sized enterprises and these studies try develop universal truths for \{SPL\} without lessons learned from empirical evidence need to be contextualized. This study is a step towards bridging this gap in contextual evidence by characterizing the weaknesses discovered in the scoping (SC) and requirements (RE) disciplines of SPL. Moreover, in this study we conducted a case study in a small to medium sized enterprises (SMEs) to justify the use of agile methods when introducing the \{SPL\} \{SC\} and \{RE\} disciplines through the characterization of their bottlenecks. The results of the characterization indicated that ineffective communication and collaboration, long iteration cycles, and the absence of adaptability and flexibility can increase the effort and reduce motivation during project development. These issues can be mitigated by agile methods.",INCLUDED,"The article is written in English (IC1), addresses software requirements in agile methodologies within a small and medium-sized enterprise (IC1, IC2), and is based on an empirical industrial case study (IC3, IC4). It does not violate any exclusion criteria: it is not in a non-English language (EC1), it addresses software requirements (EC3), it is not incomplete or a draft (EC4), it is not a tertiary or meta-analysis (EC5), it does not focus on teaching agile methods (EC6), it addresses at least one agile methodology (implied by the discussion of agile methods mitigating bottlenecks, EC7), and it answers at least one research question (characterization of bottlenecks in scoping and requirements engineering, EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria.",INCLUDED,"The article addresses SPL engineering in the context of small and medium-sized enterprises, which satisfies IC1. It is an industrial case study, meeting IC2. The research is qualitative, aligning with IC3. It is a primary study, not a secondary one, aligning with IC4. The article does not violate any Exclusion Criteria. It does not discuss teaching agile methods (EC6) or fail to address agile methodologies (EC7). It addresses the research questions regarding the challenges of SPL engineering in SMEs, meeting IC6. Therefore, the article is INCLUDED."
2631.0,Included,included,Towards traceability from project management to system models,"Traceability is commonly known as the ability to describe and follow links between artifacts, e.g. between requirements and their corresponding part of the system design. These links are typically inside of the system specification. Very few approaches ...",EXCLUDED,"The article does not address software requirements directly, violating Exclusion Criterion EC3. Additionally, the abstract focuses on traceability between artifacts without specifying any agile methodology or software requirements in the context of agile software projects.",EXCLUDED,"The article does not explicitly address agile methodologies, violating EC7, and lacks sufficient information to confirm compliance with qualitative or quantitative research criteria (IC3), and primary or secondary status (IC4)."
273.0,Excluded,ec3,A web-based model for simulating whole-farm beef cattle systems,"This paper details the rationale and procedures included in a web-based simulator containing production of beef cattle and cash crops. All biophysical and economical definitions including management in terms of rules constitute user-defined scenarios, which can be saved, retrieved, modified and deleted. Herbage growth may be either provided by the user or estimated from daily climate information. Scenarios are simulated and their outcomes are sent to the user's e-mail as a spreadsheet file, including data and pre-designed graphs to facilitate the interpretation of results. An example simulation study of a grazing-based finishing beef steers with a cycle of 12 months is presented, where new weaners enter the system in the autumn. Increased stocking rates, \{SR\} (150, 170, 190 and 210 heads in a 100-ha farm) and different summer maize feeding (SMF) rates were compared (SMF0&#xa0;=&#xa0;control and SMF1&#xa0;=&#xa0;intermittent rule-driven maize feeding during summer). In this simulation study, â€œdeviationsâ€� from user-defined targets are simplified into two associated rules (a) average farm herbage mass deviation to adjust herbage allowance, and (b) target animal live weight deviation, associated to SMF1. The proportion of unfinished steers at 28th February increased linearly (p&#xa0;â‰¤&#xa0;0.01) with higher stocking rates and became zero at any stocking rate where the \{SMF\} rule was operating (SMF1). The economic response of SR&#xa0;Ã—&#xa0;SMF interaction was significant for gross margin, indicating a positive linear association (p&#xa0;â‰¤&#xa0;0.05) of \{SMF1\} treatment (rule activated) when \{SR\} increases. The potential use of the web simulator as a flexible tool for investigation, training and decision making are discussed.",EXCLUDED,"The article does not address software requirements or agile methodologies, and does not relate to software project requirements in any way. It focuses on a web-based simulator for agricultural systems, which falls outside the scope of software project requirements using agile methodologies. Therefore, it violates EC3 and EC7, and fails to meet IC1.",INCLUDED,"The article addresses requirements in software projects using agile methodologies by presenting a web-based simulator for beef cattle systems. It specifies the use of user-defined scenarios and rules for managing herbage growth and stocking rates, which aligns with IC1. The study, while not explicitly stated as qualitative or quantitative, implies a quantitative approach through simulations and data analysis, meeting IC3. It is a primary study as it details specific procedures and results, satisfying IC4. The article does not violate any exclusion criteria, as it is written in English, does not address teaching agile methods, does not fail to address agile methodologies, and is not a tertiary or meta-analysis study. It also answers the research question on the economic response of stocking rates and summer maize feeding rates, meeting IC9."
354.0,Included,included,Agile and Kanban in Coordination,"Iterative development and Kanban are not mutually exclusive competing methodologies, in essence they are complementary processes that when used together can facilitate higher performance in large development teams. This paper is a walkthrough of the Network Gaming team's implementation of Iterative Agile alongside Lean Kanban here at WMS Gaming. The intent is to cover the processes created and the improvements achieved with this coordinated Agile / Lean system.",INCLUDED,"The article is written in English (EC1 not violated), addresses software project requirements in the context of agile and Kanban methodologies (IC1 satisfied), is based on a real-world industry implementation (IC2 satisfied), and describes a qualitative study of processes and improvements (IC3 and IC4 satisfied). It does not deal with teaching agile methods (EC6 not violated), addresses at least one agile methodology (Kanban and Iterative Agile, EC7 not violated), and answers research questions about performance improvements (EC9 not violated). No exclusion criteria are violated, and all inclusion criteria are met.",INCLUDED,"The article addresses software project requirements using agile methodologies (IC1), it is from academia (IC2), it can be considered qualitative research as it discusses processes and improvements (IC3), and it is a primary study since it provides a walkthrough of a specific team's implementation (IC4). It does not violate any exclusion criteria."
225.0,Included,included,A Starting Point for Negotiations—Delivering with a Heterogeneous Team," This paper presents a counterintuitive Pre-Sprint Work Balancing methodology that has substantially increased the ability of our highly heterogeneous Scrum [1] team to deliver what it promises at the end of each sprint. The process essentially consists of preplanning steps that acknowledge both the heterogeneity in developer's time and skill level, as well as Product Owner priorities. These preplanning activities act as a starting point for negotiations with the team during the Sprint Planning Meeting. For our team, delivery of all promised tasks in a sprint has increased from less than 1/3 of our sprints to more than 2/3, with indications that we are heading towards nearly 100% delivery.",INCLUDED,"The article addresses software project requirements in an agile context (Scrum), specifically focusing on improving delivery rates in a heterogeneous team. It is written in English, is a primary study (describes a practical methodology developed and tested in a real team), and does not violate any exclusion criteria. It does not deal with teaching agile methods (EC6), is not a tertiary or meta-analysis (EC5), is not incomplete or a draft (EC4), and addresses at least one agile methodology (Scrum, EC7). All inclusion criteria are met.",INCLUDED,"The article addresses requirements in software projects using agile methodologies, specifically Scrum. It is from an industry perspective, as it discusses a practical application within a team. The research is not explicitly stated as qualitative or quantitative, but it does provide empirical evidence of increased sprint delivery rates, which leans towards quantitative research. It is a primary study, being an original work presenting findings from actual practice. The article does not violate any exclusion criteria as it is written in English, is not a draft or just an abstract, does not deal with teaching agile methods, and does not fail to address agile methodologies or research questions."
1706.0,Excluded,ec3,Model-driven test-case construction,Automatic system tests are frequently coupled to implementation details of the system under test. Such a tight coupling is problematic for a number of reasons: It prevents reuse of existing tests for multiple versions or variants of a system or for a ...,EXCLUDED,"The article does not address software requirements as per EC3, as the abstract focuses on test-case construction and system coupling rather than requirements in software projects using agile methodologies. Therefore, it fails to meet IC1 and is excluded.",EXCLUDED,"The article discusses automatic system tests and their coupling to implementation details, but it does not specifically address requirements in software projects using agile methodologies (IC1 criterion). Therefore, it fails to meet the inclusion criteria."
263.0,Excluded,ec3,A tool for incorporating unit testing into a Java programming curriculum,"In the development of object-oriented programming courses, an often overlooking but important area is testing. Generally, testing is formally introduced in software engineering courses and may not form part of the practical aspects of a programming course. As a result, this concept can play a de-emphasized role during the presentation of the course material. To counteract this problem, the HF2 (Highly Extendable and Flexible) unit testing framework was created. Its primary focus is the incorporation of unit testing into an object-oriented programming curriculum. HF2 provides students with the opportunity to develop and practice testing skills in a structured manner. This paper discusses the structure of the framework and the experiences gained when used in a university environment.",EXCLUDED,"The study does not address software requirements in the context of agile methodologies (violates EC3). Instead, it focuses on incorporating unit testing into a programming curriculum, which is educational and not related to software project requirements or agile practices. Additionally, it does not address any agile methodology, violating EC7.",INCLUDED,"The article meets all inclusion criteria: it addresses requirements in software projects using agile methodologies, is from academia, qualitative in nature, and a primary study. It does not violate any exclusion criteria, thus the article is included."
