ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A,EXPLAIN_A
1655.0,Included,included,Mapping CMMI level 2 to scrum practices: An experience report,"CMMI has been adopted advantageously in large companies for improvements in software quality, budget fulfilling, and customer satisfaction. However SPI strategies based on CMMI-DEV require heavy software development processes and large investments in terms of cost and time that medium/small companies do not deal with. The so-called light software development processes, such as Agile Software Development (ASD), deal with these challenges. ASD welcomes changing requirements and stresses the importance of adaptive planning, simplicity and continuous delivery of valuable software by short time-framed iterations. ASD is becoming convenient in a more and more global, and changing software market. It would be greatly useful to be able to introduce agile methods such as Scrum in compliance with CMMI process model. This paper intends to increase the understanding of the relationship between ASD and CMMI-DEV reporting empirical results that confirm theoretical comparisons between ASD practices and CMMI level2. Â© 2009 Springer Berlin Heidelberg.",INCLUDED,"The article addresses software requirements in software projects using agile methodologies (specifically Scrum) and compares them with CMMI level 2. It is a primary study based on empirical results, not a draft, abstract, or tertiary source. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is not a draft or incomplete (EC4), is not a meta-analysis or tertiary study (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (Scrum, EC7), and answers research questions related to the mapping of Scrum practices to CMMI level 2 (EC9). It meets all inclusion criteria: it addresses agile software development practices (IC1), is a primary study from academia (IC2), and is qualitative/empirical (IC3 and IC4)."
2721.0,Excluded,ec7,Using Collective Intelligence to Detect Pragmatic Ambiguities, ,EXCLUDED,"The article does not address software requirements, violating Exclusion Criterion EC3."
1880.0,Excluded,ec4,"Proceedings - AGILE Conference, 2006",The proceedings contain 50 papers. The topics discussed include: earned value and agile reporting; an empirical study of using planning poker for user story estimation; on agile performance requirements specification and testing; refactoring with contracts; a case study on the impact of customer communication on defects in agile software development; critical personality traits in successful pair programming; reflections on reflections in agile software development; the deployment production line; the cost of code quality; the agile marathon; a tale of two projects; the pairing sessions as the atomic unit of work; multiple simultaneous projects with one eXtreme programming team; value based extreme programming; something to believe in; introducing lean principles with agile practices at a fortune 500 company; optimizing major release frequency using agile practices; and examining the compatibility of student pair programmers.,EXCLUDED,"The article is a conference proceedings containing abstracts and papers, not a complete study. It does not present a single, complete empirical or qualitative study that addresses software requirements in agile methodologies. It violates Exclusion Criterion EC4 (study is incomplete, a draft, presentation slides, or just an abstract)."
1207.0,Excluded,ec3,Experiences with Extreme Programming in telehealth: Developing and implementing a biosecurity health care application,"There has been limited research on how non-conventional system development methodologies such as, Agile modeling methods could improve the successful development and implementation of telehealth services. The goal of this research was to increase the understanding of the impact of using the Extreme Programming process, an Agile modeling approach, to the development effort of a biosecurity telehealth project. Overall, the research indicates that Extreme Programming is an effective methodology to develop health care applications. The rapid prototyping enabled IT developers and health care users to clarify system requirements, communicate openly, and quickly build rapport. Further, the research found that that where the technology was new or foreign, the Extreme Programming process was flexible enough to support several iterations of technology and produce prototypes in a timely manner.",INCLUDED,"The article addresses software requirements in a telehealth project using Extreme Programming, an agile methodology, and provides empirical findings from a real-world implementation. It is a primary study in the form of a research paper, written in English, not a draft or abstract, and does not focus on teaching agile methods or involve tertiary or meta-analysis. It satisfies all inclusion criteria and violates none of the exclusion criteria."
1700.0,Excluded,ec7,"Model driven architecture: how far have we come, how far can we go?","Model Driven Architecture (MDA) is a technology that has been in the process of evolution for many years. Today, many vendors are now producing products that support MDA. We are hearing more and more success stories that indicate that this technology ...",EXCLUDED,"The article does not address software requirements or agile methodologies, violating Exclusion Criteria EC3 and EC7. It also does not focus on requirements in software projects using agile methods, failing to meet Inclusion Criterion IC1."
328.0,Included,included,Adapting XP to complex application domains,"Extreme programming (XP) works well for small software projects in not-too-complex application domains. In many of these projects the rather simple requirements engineering of XP (customers write story cards) has proved suitable. But today we are more often faced with complex application domains in which the classical XP techniques will not suffice. The tutorial shows how to adapt extreme programming to complex application domains and to demanding development tasks. We focus mainly on the requirements engineering part and show how to enhance XP with interviews, scenarios and system visions. We also integrate the management perspective into the ""planning game"" reconciling this perspective to users' needs. We propose a set of best-practice methods we have used in a number of industrial high-risk projects for different complex application domains.",INCLUDED,"The article addresses software requirements in complex application domains using agile methodologies, specifically Extreme Programming (XP). It focuses on enhancing XP with techniques like interviews, scenarios, and system visions, directly relating to agile requirements engineering. The study is based on industrial high-risk projects, thus originating from industry. The research is presented as a tutorial describing practical adaptations, indicating qualitative, primary research. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is not a draft or abstract (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (XP) (EC7), and answers relevant research questions (EC9). All inclusion criteria are satisfied."
2043.0,Excluded,ec4,Report on the first SEMAT workshop on general theory of software engineering (GTSE 2012),"Many academic disciplines have general theories, which apply across the discipline and underlie much of its research. Examples include the Big Bang theory (cosmology), Maxwell's equations (electrodynamics), the theories of the cell and evolution (biology), ...",EXCLUDED,"The article is a report on a workshop and does not address software requirements in software projects using agile methodologies. It fails to meet Inclusion Criterion IC1 and violates Exclusion Criterion EC3, as it does not address software requirements. Additionally, it is a tertiary report and does not present original research on software project requirements, making it ineligible."
2583.0,Included,included,Tool-supported process analysis and design for the development of multi-agent systems,"This paper introduces a methodology for the development of multi-agent systems, in particular multi-agent systems that optimize the collaboration of distributed work groups like clinical departments. A major difficulty with such systems is requirements elicitation, because intimate knowledge of the work processes is needed to identify the potential agent application scenarios. In the face of uncertain requirements, our methodology exploits some ideas from agile software development approaches such as Extreme Programming, namely the values of collaboration with domain experts and of human creativity driven by rapid feedback. We support collaboration by means of a tool-supported modeling approach that allows one to capture existing and agentified processes in a format that is sufficiently simple to be understood and maintained by domain experts. These process models can be automatically synchronized with executable agent source code, so that rapid feedback is ensured. We support creativity by means of a searchable repository of reusable agent design patterns and other types of process modeling knowledge. Â© Springer-Verlag Berlin Heidelberg 2003.",INCLUDED,"The article addresses software requirements in the context of multi-agent system development using agile methodologies, specifically referencing ideas from Extreme Programming such as collaboration with domain experts and rapid feedback. It is not written in a language other than English (EC1), does not deal with teaching agile methods (EC6), does not address a tertiary or meta-analysis study (EC5), is not incomplete or a draft (EC4), and addresses at least one agile methodology (Extreme Programming). It satisfies IC1 (software requirements in agile context), IC2 (academic study), IC3 (qualitative/quantitative research is implied), and IC4 (primary study). No exclusion criteria are violated, and all inclusion criteria are met."
135.0,Included,included,A Hybrid Software Architecture Evaluation Method for FDD - An Agile Process Model,"The software development industry suffers from the delay in project completion time due to heavy documentation requirements of traditional process models. To overcome these delays, agile process models are getting a wide acceptance and popularity in the industry. The beauty of these models is light weight documentation and heavy intercommunications. Due to an emphasis of these models on rapid development, there is an ever increasing need of architecture evaluation. A single software architecture evaluation method (SAEM) capable of preserving the agility does not exist at the moment. In this paper, we have proposed a hybrid SAEM for feature driven development (FDD) agile process model. The proposed SAEM is hybrid of quality attribute workshop (QAW), architecture tradeoff analysis method (ATAM) and active review for intermediate designs (ARID).",INCLUDED,"The article addresses software requirements in the context of agile methodologies, specifically feature-driven development (FDD). It proposes a hybrid software architecture evaluation method that preserves agility, directly relating to software project requirements. The study is a primary research contribution, not a draft, abstract, or tertiary work. It does not violate any exclusion criteria (EC1–EC9), as it is in English, addresses software requirements, is a complete study, not a meta-analysis or teaching-focused work, and explicitly addresses at least one agile methodology (FDD). It satisfies all inclusion criteria: IC1 (software requirements in agile), IC2 (academic study), IC3 (qualitative/quantitative research not specified but implied), and IC4 (primary study). Therefore, it is classified as INCLUDED."
391.0,Included,included,Agile management of uncertain requirements via generalizations: a case study,"A major justification for the agile class of software processes is that customer requirements often change substantially during development, with the result that developers must work with a ever-changing specification. The best way of dealing with this, it is claimed, is a process including adaptive and iterative steps allowing the code under development to change to meet an evolving requirement. In this paper, we use quantitative process data to argue that the deliberate development of an evolvable design, based upon extensions and variations to the requirements, and the generality derivable from the implemented system, may provide agility within a more traditional development, showing that the two concepts are interchangeable, to some extent. In doing so, the paper draws upon our joint work on evolvable systems, and upon a concept developed by one of us in the 1980's, ""The Contraction of Generality"", to illustrate the alternatives.",INCLUDED,"The article addresses software requirements in agile methodologies by exploring how evolvable design and generalization can provide agility in traditional development processes. It uses quantitative process data, satisfying IC1 (software requirements in agile contexts), IC2 (study is from academia), IC3 (quantitative research), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (through adaptive and iterative processes) (EC7), and answers at least one research question (on agility through generalization) (EC9). Thus, it meets all inclusion criteria and does not violate any exclusion criteria."
