ID,STATUS,Applied Criterios,TITLE,ABSTRACT
1.0,Excluded,ec7, [vem:xi:] - A Methodology for Process Based Requirements Engineering," Service-oriented architectures (SOA) aim at the alignment of business and IT by having a clear business process-centric focus. In order to reach that goal, real-world business processes are captured by business process models. These models serve as the basis for the declarative configuration of a SOA using appropriate deployment artifacts - i.e., XML-based process languages. Consequently, requirements engineering for SOAs must focus on business processes and on their integration into systems using interoperable services, which is not the case for most conventional requirements engineering approaches. In this paper we present a requirements engineering approach specifically designed for the engineering of SOAs. Requirements are captured using a unified process, based on phases and iterations eventually leading to a formalized and unambiguous requirements specification. The final requirements specification can be used in succeeding development phases - i.e. for the modeldriven generation of deployment artifactsfor SOAs. The presented solution is called [vem:xi:] and is successfully used in the IT department of a Mobile Network Operator (MNO) in Austria. In the highly volatile world of mobile communication the presented approach enables faster application development and faster integration of solutions, thus leading to a competitive advantage over other market participants."
2.0,Excluded,ec7, Reconciling Multi-jurisdictional Legal Requirements: A Case Study in Requirements Water Marking,"Companies that own, license, or maintain personal information face a daunting number of privacy and security regulations. Companies are subject to new regulations from one or more governing bodies, when companies introduce new or existing products into a jurisdiction, when regulations change, or when data is transferred across political borders. To address this problem, we developed a framework called “requirements water marking” that business analysts can use to align and reconcile requirements from multiple jurisdictions (municipalities, provinces, nations) to produce a single high or low standard of care. We evaluate the framework in an empirical case study conducted over a subset of U.S. data breach notification laws that require companies to secure their data and notify consumers in the event of data loss or theft. In this study, applying our framework reduced the number of requirements a company must comply with by 76% across 8 jurisdictions. We show how the framework surfaces critical requirements trade-offs and potential regulatory conflicts that companies must address during the reconciliation process. We summarize our results, including surveys of information technology law experts to contextualize our empirical results in legal practice."
3.0,Excluded,ec7, User Feedback in the AppStore: An Empirical Study ,"Application distribution platforms - or app stores - such as Google Play or Apple AppStore allow users to submit feedback in form of ratings and reviews to downloaded applications. In the last few years, these platforms have become very popular to both application developers and users. However, their real potential for and impact on requirements engineering processes are not yet well understood. This paper reports on an exploratory study, which analyzes over one million reviews from the Apple AppStore.We investigated how and when users provide feedback, inspected the feedback content, and analyzed its impact on the user community. We found that most of the feedback is provided shortly after new releases, with a quickly decreasing frequency over time. Reviews typically contain multiple topics, such as user experience, bug reports, and feature requests. The quality and constructiveness vary widely, from helpful advices and innovative ideas to insulting offenses. Feedback content has an impact on download numbers: positive messages usually lead to better ratings and vice versa. Negative feedback such as shortcomings is typically destructive and misses context details and user experience. We discuss our findings and their impact on software and requirements engineering teams."
5.0,Included,included,"""Scrum Code Camps""","A classic way to choose a supplier is through a bidding process where tenders from competing companies are evaluated in relation to the customer's requirements. If the customer wants to hire an agile software developing team instead of buying a software product, a new approach for comparing tenders is required. In this paper we present the design of such a new approach, the Scrum Code Camp, which can be used to assess agile team capability in a transparent and consistent way. A design science research approach is used to analyze properties of two instances of the Scrum Code Camp where seven agile teams were evaluated."
7.0,Included,included,\{CASE\} 9 - The \{HURIE\} method: A case study combining requirements gathering and user interface evaluation,"Publisher Summary This chapter discusses that as the usability team evaluates the emerging user interface (UI) design for a game like tool for teaching battle command software through distance learning, they found themselves in the uneasy position of having started to plan for two pluralistic usability walk-throughs (WTs) with two different but equally time-constrained user samples and a new discovery that even the product development team members were uncertain as to the product requirements. The team could have postponed the \{UI\} evaluations but instead chose to try to take full advantage of the test participants already scheduled and to conduct a hybrid method wherein they, in parallel, gathered user requirements information and evaluated the \{UI\} prototype. They selected the pluralistic usability \{WT\} as their evaluation method, both because it allowed them to collect data from a number of these valuable and hard-to-schedule users at the same time and that it would allow for a dialogue between these representative users and the product developers, thus speeding up the back-and-forth that was necessary if they were to be engaged in an iterative design process. The team added a requirements-gathering exercise onto the front of the pluralistic usability \{WT\} to collect user requirements data before biasing the pluralistic usability \{WT\} participants with the \{UI\} prototype. The early delivery of a \{UI\} prototype for evaluation helps meet the agile principle of early and continuous delivery."
9.0,Excluded,ec4,\{CHAPTER\} 3 - Hacking as a Career,"Publisher Summary This chapter focuses on hacking as a career and discusses how one can develop a career as a penetration tester. Penetration testing expertise can be narrowed down into three different fields: networks, systems, and applications. Penetration testers with a network architecture background can identify deficiencies in a large variety of network designs, penetration testers who specialize in system administration often expand the knowledge of an operating system by learning about things such as secure communication protocols, file sharing, directory services, system hardening, backup processes, and more. Penetration testers who specialize in application and databases typically understand what it takes to create applications and how they interact with databases. The chapter offers information on some of the certifications of information systems security (ISS), such as the (ISC)2, the (ISC)2 CBK, Systems Security Certified Practitioner (SSCP), Certification and Accreditation Professional (CAP), Certified Secure Software Lifecycle Professional (CSSLP), and CISSPâ€“ISSEP. Certifications are helpful in employment and government related exams and contracts. There are a variety of information security organizations that disseminate news about the happenings within the industry, including local and national associations. Many security conferences provide training opportunities, while some mailing lists provide the latest in news and vulnerabilities related to information security."
12.0,Excluded,ec3,\{IT\} support for clinical pathwaysâ€”Lessons learned,"Clinical pathways are an effective instrument to decrease undesired practice variability and improve clinician performance. IT-applications embedded into clinical routine work can help to increase pathway compliance. Successfully implementing such applications requires both a responsive \{IT\} infrastructure and a participatory and iterative design process aimed at achieving user acceptance and usability. Experiences from the implementation and iterative improvement of an online surgical pathway at Marburg University Medical Centre have shown that pathway conformance actually could be improved by the use of IT. An analysis of the iterative design process has shown that future pathway projects can benefit from the lessons learned during this project. Based on these lessons recommendations for developing well adapted interaction mechanisms are presented, aimed at improving process alignment. Our goal is to build up a library of tested reusable components to reduce the number of iterations for pathway implementation."
14.0,Excluded,ec7,\{MC\} Sandbox: Devising a tool for method-user-centered method configuration,"Context Method engineering approaches are often based on the assumption that method users are able to explicitly express their situational method requirements. Similar to systems requirements, method requirements are often vague and hard to explicate. In this paper we address the issue of involving method users early in method configuration. This is done through borrowing ideas from user-centered design and prototyping, and implementing them on the method engineering layer. Objective We design a computerized tool, \{MC\} Sandbox, to capture method requirements through the use of method-user-centered method configuration, hence bridging the gap between systems developersâ€™ and method engineersâ€™ understanding of and expectations on a situational method. Method The research method adopted can be characterized as multi-grounded action research. Our implementation of multi-grounded action research follows the traditional â€˜canonicalâ€™ action research method, which has cycles of diagnosing, action planning, action taking, evaluating, and specifying learning. The research project comprised three such action research cycles where 10 action cases were performed. Results \{MC\} Sandbox has proven useful in eliciting and negotiating method requirements in a continuously ongoing dialog between the method users and the method engineers during configuration workshops. The results also show that the method engineer role rotated among the systems developers and that they were indeed committed to the negotiated methods during the systems development projects. Conclusion It is possible for method users to actively participate and construct suitable situational methods if they are provided with appropriate high-level modelling concepts, such as method components, configuration packages and configuration templates. This way, the project membersâ€™ understanding of the current development practice develops incrementally, both in terms of understanding the needs and available method support. In addition, both method requirements and commitments are made explicit, which are important aspects when working with method configuration from a collaboration point of view."
15.0,Excluded,ec7,\{MDD\} vs. traditional software development: A practitionerâ€™s subjective perspective,"Context Todayâ€™s project managers have a myriad of methods to choose from for the development of software applications. However, they lack empirical data about the character of these methods in terms of usefulness, ease of use or compatibility, all of these being relevant variables to assess the developerâ€™s intention to use them. Objective To compare three methods, each following a different paradigm (Model-Driven, Model-Based and Code-Centric) with respect to their adoption potential by junior software developers engaged in the development of the business layer of a Web 2.0 application. Method We have conducted a quasi-experiment with 26 graduate students of the University of Alicante. The application developed was a Social Network, which was organized around a fixed set of modules. Three of them, similar in complexity, were used for the experiment. Subjects were asked to use a different method for each module, and then to answer a questionnaire that gathered their perceptions during such use. Results The results show that the Model-Driven method is regarded as the most useful, although it is also considered the least compatible with previous developersâ€™ experiences. They also show that junior software developers feel comfortable with the use of models, and that they are likely to use them if the models are accompanied by a Model-Driven development environment. Conclusions Despite their relatively low level of compatibility, Model-Driven development methods seem to show a great potential for adoption. That said, however, further experimentation is needed to make it possible to generalize the results to a different population, different methods, other languages and tools, different domains or different application sizes."
16.0,Excluded,ec7,\{MDE\} software process lines in small companies,"Software organizations specify their software processes so that process knowledge can be systematically reused across projects. However, different projects may require different processes. Defining a separate process for each potential project context is expensive and error-prone, since these processes must simultaneously evolve in a consistent manner. Moreover, an organization cannot envision all possible project contexts in advance because several variables may be involved, and these may also be combined in different ways. This problem is even worse in small companies since they usually cannot afford to define more than one process. Software process lines are a specific type of software product lines, in the software process domain. A benefit of software process lines is that they allow software process customization with respect to a context. In this article we propose a model-driven approach for software process lines specification and configuration. The article also presents two industrial case studies carried out at two small Chilean software development companies. Both companies have benefited from applying our approach to their processes: new projects are now developed using custom processes, process knowledge is systematically reused, and the total time required to customize a process is much shorter than before."
